Product Name,Product / Color,System (G),System (Citric)
Bunny Bomb bomb top,Bunny bomb top Pink,124.82,41.61
Bunny Bomb bomb top,Bunny bomb top White,2.53,0.84
Bunny Bomb Bomb Bottom,Bunny bomb bottom Pink,223.78,74.59
Bunny Bomb Bomb Bottom,Bunny bomb bottom White,4.54,1.51
Free Ranger Pink Bottom,Free ranger bottom pink,142.5,47.5
Free Ranger Purple Top,free ranger top purple,135,45
Free Ranger Red top,Free ranger top red,7.5,2.5
Lamb Bomb Bomb Bottom,Lamb bath bom bottom blue,2.47,0.82
Lamb Bomb Bomb Bottom,Lamb bath bom bottom white,247.74,82.58
Lamb Bomb Bomb Top,lamb bath bomb top Blue,21.89,7.3
Lamb Bomb Bomb Top,Lamb bath bomb top white,169.56,56.52
Aubergine,Aubergine Green,8.23,2.74
Aubergine,Aubergine Purple,49.42,16.47
Aubergine,Aubergine Purple Tip,12.35,4.12
Love Boat'21,Love Boat Blue,38.83,12.94
Love Boat'21,Love Boat Pink,75.09,25.03
Love Boat'21,Love Boat Yellow,9.7,3.23
Peachy'21 - New flatbase,Peachy Peach,94.334625,31.44
Peachy'21 - New flatbase,Peachy Green,8.93025,2.98
Peachy'21 - New flatbase,Peachy Pink,38.485125,12.83
Peachy'21 - New flatbase,Peachy Spray,2,0
Rose Butterfly 2020,Butterfly (Pink) Blue,52.5,17.5
Rose Butterfly 2020,Butterfly (Pink) Pink,52.5,17.5
Butterfly (Orange/Yellow),Butterfly red (orange/Yellow),50,16.67
Butterfly (Orange/Yellow),butterfly yellow (orange/yellow),50,16.67
Butterfly (Green/Yellow),Butterfly green (green/yellow),50,16.67
Butterfly (Green/Yellow),Butterfly yellow (green/yellow),50,16.67
Iris Flower,Iris Flower Pink,159.9,53.3
Iris Flower,Irish Flower purple,18.8,6.27
Jasmine Flower,Jasmine Green,165.79,55.26
Jasmine Flower,Jasmine White,31.58,10.53
Marigold Flower,Marigold Orange,32.05,10.68
Marigold Flower,Marigold Yellow,153.85,51.28
Strawberry Hill Shower Bomb,strawberry hill Main,34.23,11.41
Honey I Washed The Kids,Honey IWTK - Main Mix,161.937001,53.98
Marshmallow World '21 - New flat base,Marshmallow World Pink,131.1,43.7
Marshmallow World '21 - New flat base,Marshmallow World Sugar,4.6,0
Marshmallow World '21 - New flat base,Marshmallow World White,37.375,8.63
Marshmallow World '21 - New flat base,Marshmallow World Yellow,3.7375,0.86
Melusine,Melusine - Blue,55.75,18.58
Melusine,Melusine - Green,55.75,18.58
Melusine,Melusine - Yellow Mix,57.236667,17.1
The Comforter,The Comforter-PinkLustre,53.25,17.75
The Comforter,The Comforter - Pink,53.25,17.75
The Comforter,The Comforter - White,53.25,17.75
,,,0
More Tea & Sympathy Tea Pot,More Tea tea pot,187,62.33
,,,0
Rose Bombshell Egg,Rose bomb shell Egg top,240,80
Chamomile Flower,Chamomile blue,142.8,47.6
Chamomile Flower,Chamomile white,35.7,11.9
Rose Bombshell Egg,Rose Bombshell Egg bottom,190,63.33
Blackberry'21 - New flatbase,Blackberry Main,160.5,53.5
Yuzu & Cocoa,Yuzu & Cocoa - Main,152.25,50.75
Calavera,Calavera - Green Sugar,0.45,0
Calavera,Calavera - Pink Sugar,0.45,0
Calavera,Calavera - White Bicarb,96.520832,32.17
Calavera,Calavera - Blue Bicarb,36.64375,12.21
Calavera,Calavera - Yellow Sugar,0.45,0
Calavera,Calavera - Yellow Bicarb,36.64375,12.21
Tender Is The Night,Tender White,88.17,29.39
Tender Is The Night,Tender Pink,88.17,29.39
Bunny Fun Egg,Bunny top yellow,115.38,38.46
Bunny Fun Egg,Bunny bottom orange,115.38,38.46
Chick Fun Egg,Chick Egg Bottom Yellow,115.38,38.46
Chick Fun Egg,Chick Egg Top Orange,115.38,38.46
Stegosaurus Fun Egg,Stegosaurus bottom Purple,115.38,38.46
Stegosaurus Fun Egg,Stegosaurus Top Blue,115.38,38.46
Brontosaurus Fun Egg,Brontosaurus Top Purple,115.38,38.46
Brontosaurus Fun Egg,Brontosaurus Bottom blue,115.38,38.46
