Product Name,New Target
Avobath '21 - New Flat base,"1,404"
Groovy kind of love'21-New flatbase,468
Peachy'21 - New flatbase,416
Temple of the sky'21-New flatbase,229
Melusine'21 - New flatbase,520
The Comforter'21 - New flatbase,374
Blackberry'21 - New flatbase,"1,144"
Turmeric Latte 21-New flatbase,416
TBH 365,291
WHITE NOISE,468
DIAMOND DUST,832
PEAU DE PARIS BOMBSHELL PINK TOP,624
PEAU DE PARIS BOMBSHELL PINK BOTTOM,624
PEAU DE PARIS BOMBSHELL BLUE TOP,624
PEAU DE PARIS BOMBSHELL BLUE BOTTOM,624
PEAU DE PARIS BOMBSHELL GREEN TOP,624
PEAU DE PARIS BOMBSHELL GREEN BOTTOM,624
PEAU DE PARIS BOMBSHELL YELLOW TOP,624
PEAU DE PARIS BOMBSHELL YELLOW BOTTOM,624
PEAU DE PARIS BOMBSHELL,312
Punkin Pumpkin'21,312
Bat art'21,624
Ghostie'21,406
Lord of misrule'21,276
I want a hippopotamumus'21,"1,144"
Butterbear'21(pink),"1,196"
Sleepy Bear bath bomb'21,"1,040"
Snowman dreaming'21,374
Snowball bath bomb'21,489
You shall go to the ball'21,421
Orange Pop bath bomb'21,624
Snow Fairy'21,416
Shoot for the star'21,728
Jingle bells'21,416
Hey Hollywood '21,437
Golden pudding '21,421
Rudolph nose'21,"2,600"
Silver Bells shower bomb'21,"1,456"
Snow Fairy Lights'21 plug,"1,217"
Snow Fairy Lights'21,468
Sleepy bath bomb'21,359
Cinders'21,"1,050"
Thundersnow'21,426
Santa's Magic Sleight'21 - Santa,728
Santa's Magic Sleight'21 - Bear,"3,120"
Santa's Magic Sleight'21 - Sleight,780
Santa's Magic Sleight'21  TOGETHER,283
Hot java,1,248
Pumpkin Pumpkin'21-MEXICO,"2,080"
Bat art'21-MEXICO,"2,600"
Ghostie'21-MEXICO,"1,560"
Lord of misrule'21-MEXICO,"2,600"
I want a hippopotamumus'21-MEXICO,"2,600"
Butterbear'21(pink)-MEXICO,"2,600"
Sleepy Bear bath bomb'21-MEXICO,0
Snowman dreaming'21-MEXICO,"2,080"
Snowball bath bomb'21-MEXICO,"3,640"
You shall go to the ball'21-MEXICO,"2,392"
Orange Pop bath bomb'21-MEXICO,"3,120"
Snow Fairy'21-MEXICO,"4,472"
Shoot for the star'21-MEXICO,"3,120"
Jingle bells'21-MEXICO,"1,768"
Hey Hollywood '21-MEXICO,"3,224"
Golden pudding '21-MEXICO,"3,224"
Rudolph nose'21-MEXICO,"1,664"
Silver Bells shower bomb'21-MEXICO,"1,664"
The Sicilian,"1,040"
Lakes Bath Bomb,832
Golden Slumbers Spa'21 - New flatbase,"1,456"
The Worlds Smallest Disco'21,426
Rangoli Dreams '21,312
Golden Pudding '21 AF,421
Marshmallow ' 22,520
Unicorn Poop Bath bomb,468
Black rose'21,676
Toby's magic cow,416
Luxe Bath Bomb,572
GRANNY  TAKES THE DIP,208
Volcano Spa'21,343
Party Kit Karma Spa'50,62
Summer Blues,"1,248"
Confetti mixing - KG,156
Big Blue Spa'21,"1,560"
Pumpkin Giant Bottom,624
Pumpkin Giant Top,624
Enchanter '21,416
Punkin Pumpkin'21 glow in dark,312
THINK PINK'21,572
THE EXPERIMENTER'21,364
BigAubergineEnergy '22,225
Lucky tiger,"1,040"
Lovebug '22,286
Mr Loba Loba '22,"1,248"
Jasmine'22,780
Atom Heart Mother'22,468
Elephant In The TeaRoom'22,333
Rose Gold'22,572
!Disco Duck '22,416
!Flamingo Egg '22,478
!FollowtheWhiteRabbit'22,416
!Golden Egg '22,468
!The Flying Carrot '22,445
!The Flying Carrot '22 Carrot,520
!The Flying Carrot '22 Rabbit,"3,120"
The Ex factor,728
Knowledge Bath Bomb,291
Golden Egg Large'22,468
The Imperial egg,468
Light in the Night'22,390
Party kit - Elephant in the tea room,62
Party kit -Flamingo,42
Party kit - Light in the night,36
Party Kit - Toby's Magic Cow 10,40
Dirty Bath Bomb'22,468
Orangutan bath bomb,905
All That Jas '22,624
Softy '22,"1,040"
Ufo lid,"1,144"
Ghostie'22,406
Pumpkin Pumpkin'22,312
Big foot'22,416
I want my mummy'22,"1,040"
Lord of misrule'22,598
Screamo'22,468
Ufo'22,380
Bat art'22,624
Butterbear '22,"1,144"
Crystal Snow '22,988
Gift Horse '22,520
Golden Pudding '22,260
Jolly Holly '22,884
Magical Santa '22,302
Moon Bath '22,468
Moon Bath '22 insert,"4,160"
PartridgeInAPearTree'22,572
Shoot For Stars '22,728
Sleepy Bear '22,"1,040"
Snow Dragon '22,728
Snow Drift '22,468
Snow Fairy BALL '22,416
Snow Fairy Lights '22,468
Snow Fairy Lights'22 plug,"1,217"
Snow Fairy Lights'22 plug  lustering,"6,240"
Snow Fairy Lights'22 plug  unpicking,"3,120"
Snow fairy confetties,"78,000"
Snowman FingerPuppet'22,520
Sweet Pudding '22,936
Intergalactic - Line,593
Christmas Party '22 GCO,884
Wild Remedy Bath Bomb,728
Slow Down Bath Bomb,728
Broken Heart Bath Bomb,728
Shoot for the stars Yellow - Mixing kg,156
Cobweb '22 GCO,562
Marshmallow ' 22- Line,499
Bonfire Bath Bomb'22,"1,040"
Party Kit - Punkin Pumpkin,52
Rangoli Dreams '22,312
Gum-Gum Fruit,572
Flame-Flame Fruit,468
Flower-Flower Fruit,416
Human-Human Fruit Top,926
Human-Human Fruit Bottom,926
Human-Human Fruit Whole Product,463
Seed Pod F&F BathBomb,884
Fireball'22,416
Party kits-Snow dragon ,52
Banana Ghost '22 ,676
Dexter's Dragon egg ,676
Plane Leaf,468
Wash Buddy,364
Sad Face,520
Happy face,520
The Rift,832
D8,468
Valentine Bombshell '23,312
Gold Rabbit'23,468
Lovebug '23,286
Deep Sleep Cube,416
